,Datetime,Tweet Id,Text,Username
0,2022-04-19 08:35:25+00:00,1516334641610989571,"Half-a-million Ukrainians have fled to the Lviv region in western Ukraine since the Russian invasion began on Feb. 24.  In this Soviet-era apartment block, behind every window is a story.",AP
1,2022-04-19 07:42:46+00:00,1516321393281015809,Afghan police say explosions targeting educational centers injured at least seven children in Kabul with reports of at least three bombs detonating in a mostly Shiite neighborhood.,AP
2,2022-04-19 07:13:55+00:00,1516314133666349058,Russian forces have attacked along a broad front in eastern Ukraine as part of a full-scale ground offensive to take control of the country’s industrial heartland. Moscow also has continued to blockade and shell Mariupol and fire missiles at other cities.,AP
3,2022-04-19 06:40:38+00:00,1516305757674819584,"There's stark public divide in Iran over Russia's war on Ukraine, which underscores both Tehran's tilt toward Moscow in recent years and Iran’s historic enmity with Russia. (Corrects typo.)",AP
4,2022-04-19 06:26:26+00:00,1516302180772364288,"There's stark public divide in Iran over Russia's war on Ukraine, which underscores both Teheran's tilt toward Moscow in recent years and Iran’s historic enmity with Russia.",AP
5,2022-04-19 05:23:58+00:00,1516286462014205953,A decision by a federal judge in Florida to throw out a national mask mandate for public transportation across the U.S. created a confusing patchwork of rules for passengers as they navigate airports and transit systems.,AP
6,2022-04-19 04:49:48+00:00,1516277862885691395,Food insecurity and skyrocketing food prices will take center stage when International Monetary Fund and World Bank members meet in Washington. The loss of commodities due to Russia’s war in Ukraine is being blamed for the calamity.,AP
7,2022-04-19 04:34:28+00:00,1516274004063100930,A judge has ruled Amazon must reinstate a former employee who was fired in 2020 after leading a protest calling for the company to do more to protect workers against COVID-19.,AP
8,2022-04-19 04:26:26+00:00,1516271984916799488,California is leading a new wave of flood risk management that centers on natural engineering over structural as the nation rethinks how rivers flow amid the effects of climate change.,AP
9,2022-04-19 04:02:38+00:00,1516265995169636358,"Voters in East Timor are choosing a president in a runoff between former independence fighters, Nobel Peace Prize laureate Jose Ramos-Horta and incumbent President Francisco “Lu Olo” Guterres.",AP
10,2022-04-19 02:53:40+00:00,1516248636644020237,The Transportation Security Administration says it will no longer enforce the public transportation mask mandate after a U.S. judge struck down the rule. Major airlines are making masks optional.,AP
11,2022-04-19 01:18:26+00:00,1516224672337211400,"Amid escalating clashes, Israeli fighter jets have carried out airstrikes in the Gaza Strip, the Israeli military says. Hours earlier, Palestinian militants launched a rocket into southern Israel.",AP
12,2022-04-19 01:17:54+00:00,1516224537704243210,The debut of NASA’s huge moon rocket is facing more delays following a string of failed fueling tests. The next chance for a test flight will be late June or July. NASA hopes to land astronauts on the moon around 2025.,AP
13,2022-04-19 00:53:19+00:00,1516218350677991432,Jury selection has begun in a lawsuit brought against members of the Kardashian family by Blac Chyna. The former fiancée of Rob Kardashian says the family destroyed her TV career after the two broke up. The Kardashians have denied any wrongdoing.,AP
14,2022-04-19 00:44:01+00:00,1516216009803407364,The Biden administration says the U.S. is banning anti-satellite missile testing. Last year Russia launched a missile to destroy a defunct Soviet-era satellite. Both that and a test by China in 2007 resulted in widespread space debris.,AP
15,2022-04-19 00:24:22+00:00,1516211067399163910,Alex Jones' Infowars has filed for bankruptcy after the conspiracy theorist lost defamation lawsuits over his comments that the Sandy Hook school massacre was a hoax. Here's a look at Jones' finances and how the filing affects the court proceedings.,AP
16,2022-04-19 00:00:51+00:00,1516205149374537731,The Biden administration says the mask mandate covering airlines and other public transportation will not be enforced while the government decides how to respond to a judge's order striking down the rule. The CDC had recently extended the mandate to May 3.,AP
17,2022-04-18 23:58:23+00:00,1516204525962641413,"For U.S. medical students seeking abortion training, options are under threat as states propose and enact laws to stifle education about the procedure. But some doctors-in-training who plan to perform abortions say they are undeterred.",AP
18,2022-04-18 23:34:08+00:00,1516198421945847821,"Kimberly Guilfoyle, the fiancée of former President Trump’s eldest son, has met with the House panel investigating the Capitol riot, a person familiar with the matter says. The day of the riot, Guilfoyle spoke at Trump's rally on the White House Ellipse.",AP
19,2022-04-18 23:14:00+00:00,1516193355822252035,"""Black-ish"" was a network TV rarity: A depiction of a prosperous, tight-knit family of color with Black people shaping their stories.

With the final episode set to air Tuesday, its creator and fans reflect on the sitcom's cultural impact.",AP
20,2022-04-18 22:52:54+00:00,1516188046886150147,The Ukrainian military says street battles have begun in the town of Kreminna and no one can evacuate. It's one of two spots where Ukraine says the Russians have managed to break through along a front in the east stretching hundreds of miles.,AP
21,2022-04-18 22:33:18+00:00,1516183115487711238,"Twitter has put a major roadblock in front of Elon Musk’s effort to take over the company, leaving investors to wonder about the mercurial Tesla CEO’s next move. Musk has a number of options.",AP
22,2022-04-18 21:48:01+00:00,1516171718754279435,"Some doctors say it’s time to rename low-grade prostate cancer.

Most prostate cancers are harmless, but doctors say fear of the name can cause some patients to overreact and opt for unneeded surgery or radiation.",AP
